ADMIN2PCOD,conflict_diffusion_indicator,grid_cells_gte_threshold_inhabitants,grid_cells_needed
BF4601,0.0,49,0
BF4602,0.0,60,0
BF4603,0.0,76,0
BF4604,0.0,70,0
BF4605,0.0,40,0
BF4606,0.0,61,0
BF4701,0.0,154,0
BF4702,0.0,31,0
BF1300,0.0,30,0
BF4801,0.0,67,0
BF4802,0.0,54,0
BF4803,0.0,28,0
BF4901,0.0,43,0
BF4902,0.0,64,0
BF4903,0.0,95,0
BF5001,0.0,45,0
BF5002,0.0,52,0
BF5003,0.0,76,0
BF5004,0.0,52,0
BF5101,0.0,37,0
BF5102,0.0,42,0
BF5103,0.0,36,0
BF5201,0.0,91,0
BF5202,0.0,116,0
BF5203,0.0,53,0
BF5204,0.0,65,0
BF5205,0.0,143,0
BF5301,0.0,119,0
BF5302,0.0,89,0
BF5303,0.0,55,0
BF5401,0.0,37,0
BF5402,0.0,38,0
BF5403,0.0,69,0
BF5404,0.0,21,0
BF5501,0.0,41,0
BF5502,0.0,19,0
BF5503,0.0,30,0
BF5601,0.009615384615384616,104,1
BF5602,0.0,73,0
BF5603,0.023622047244094488,127,3
BF5604,0.0,67,0
BF5701,0.0,26,0
BF5702,0.0,33,0
BF5703,0.0,28,0
BF5704,0.0,76,0
TD1902,0.0,165,0
TD1903,0.0,52,0
TD1901,0.0,102,0
TD0102,0.0,199,0
TD0101,0.0,225,0
TD0103,0.0,110,0
TD0201,0.0,26,0
TD0202,0.0,93,0
TD0301,0.0,268,0
TD0302,0.0,43,0
TD0303,0.0,143,0
TD2001,0.0,131,0
TD2002,0.0,60,0
TD2301,0.0,122,0
TD2303,0.0,88,0
TD0402,0.0,92,0
TD0403,0.0,201,0
TD0401,0.0,70,0
TD0404,0.0,96,0
TD0502,0.0,161,0
TD0501,0.0,71,0
TD0503,0.0,64,0
TD0601,0.0,100,0
TD0602,0.0,263,0
TD0603,0.0,27,0
TD0704,0.0,75,0
TD0703,0.0,37,0
TD0701,0.0,38,0
TD0702,0.0,56,0
TD0802,0.0,34,0
TD0803,0.0,12,0
TD0801,0.0,28,0
TD0804,0.0,18,0
TD0902,0.0,14,0
TD0903,0.0,20,0
TD0904,0.0,29,0
TD0905,0.0,38,0
TD0901,0.0,26,0
TD0906,0.0,90,0
TD1002,0.0,82,0
TD1003,0.0,19,0
TD1001,0.0,68,0
TD1202,0.0,28,0
TD1203,0.0,10,0
TD1201,0.0,82,0
TD1102,0.0,33,0
TD1101,0.0,86,0
TD1103,0.0,36,0
TD1104,0.0,30,0
TD1301,0.0,120,0
TD1302,0.0,42,0
TD1303,0.0,146,0
TD1801,0.0,4,0
TD1402,0.0,39,0
TD1403,0.0,80,0
TD1401,0.0,177,0
TD1502,0.0,79,0
TD1501,0.0,143,0
TD1503,0.0,117,0
TD2102,0.0,119,0
TD2101,0.0,197,0
TD1603,0.0,11,0
TD1601,0.0,119,0
TD1602,0.0,38,0
TD2201,0.0,154,0
TD2202,0.0,117,0
TD1701,0.0,161,0
TD1702,0.0,98,0
TD1703,0.0,111,0
TD1704,0.0,74,0
ML0901,0.0,4,0
ML0701,0.009345794392523364,214,2
ML0702,0.0,152,0
ML0703,0.0035460992907801418,282,1
ML0704,0.01090909090909091,275,3
ML0101,0.0,200,0
ML0102,0.0,133,0
ML0103,0.0,219,0
ML0104,0.0,151,0
ML0105,0.0,318,0
ML0106,0.0,111,0
ML0107,0.0,57,0
ML0801,0.0,72,0
ML0802,0.009708737864077669,103,1
ML0803,0.017094017094017096,117,2
ML0804,0.0,69,0
ML0201,0.0,77,0
ML0202,0.0,126,0
ML0203,0.0,48,0
ML0204,0.0,164,0
ML0205,0.0,112,0
ML0206,0.0,64,0
ML0207,0.0,296,0
ML0501,0.0,81,0
ML0502,0.0,67,0
ML0503,0.044444444444444446,45,2
ML0504,0.021834061135371178,229,5
ML0505,0.009615384615384616,104,1
ML0506,0.0,75,0
ML0507,0.0,121,0
ML0508,0.0,76,0
ML0401,0.0,48,0
ML0402,0.0,66,0
ML0403,0.0,66,0
ML0404,0.007042253521126761,142,1
ML0405,0.0,63,0
ML0406,0.0,156,0
ML0407,0.0,68,0
ML0301,0.0,196,0
ML0302,0.0,52,0
ML0303,0.0,82,0
ML0304,0.0,93,0
ML0305,0.0,159,0
ML0306,0.0,96,0
ML0307,0.0,50,0
ML0601,0.0,26,0
ML0602,0.0,223,0
ML0603,0.0,297,0
ML0604,0.012048192771084338,83,1
ML0605,0.0,153,0
MR0101,0.0,41,0
MR0102,0.0,37,0
MR0103,0.0,28,0
MR0104,0.0,20,0
MR0201,0.0,62,0
MR0202,0.0,25,0
MR0203,0.0,30,0
MR0204,0.0,110,0
MR0205,0.0,104,0
MR0301,0.0,145,0
MR0302,0.0,13,0
MR0303,0.0,18,0
MR0305,0.0,7,0
MR0304,0.0,83,0
MR0402,0.0,36,0
MR0401,0.0,25,0
MR0501,0.0,45,0
MR0503,0.0,57,0
MR0502,0.0,22,0
MR0504,0.0,18,0
MR0601,0.0,37,0
MR0602,0.0,78,0
MR0707,0.0,48,0
MR0705,0.0,73,0
MR0701,0.0,86,0
MR0702,0.0,83,0
MR0703,0.0,49,0
MR0704,0.0,86,0
MR0706,0.0,110,0
MR0801,0.0,111,0
MR0802,0.0,82,0
MR0803,0.0,94,0
MR0804,0.0,97,0
MR0900,0.0,83,0
MR1000,0.0,10,0
MR1101,0.0,91,0
MR1102,0.0,28,0
MR1103,0.0,93,0
MR1201,0.0,30,0
MR1202,0.0,24,0
MR1203,0.0,6,0
MR1301,0.0,138,0
MR1302,0.0,28,0
MR1303,0.0,54,0
MR1304,0.0,52,0
MR1305,0.0,46,0
MR1306,0.0,13,0
NE0101,0.0,104,0
NE0102,0.0,79,0
NE0103,0.0,18,0
NE0104,0.0,126,0
NE0105,0.0,165,0
NE0106,0.0,186,0
NE0201,0.0,17,0
NE0202,0.0,50,0
NE0203,0.0,84,0
NE0204,0.0,75,0
NE0205,0.0,220,0
NE0206,0.0,86,0
NE0301,0.0,32,0
NE0302,0.0,17,0
NE0303,0.0,83,0
NE0304,0.0,93,0
NE0305,0.0,16,0
NE0306,0.0,26,0
NE0307,0.0,31,0
NE0308,0.0,28,0
NE0401,0.0,17,0
NE0402,0.0,51,0
NE0403,0.0,112,0
NE0404,0.0,11,0
NE0405,0.0,47,0
NE0406,0.0,38,0
NE0408,0.0,70,0
NE0409,0.0,56,0
NE0407,0.0,1,0
NE0801,0.0,8,0
NE0501,0.0,130,0
NE0502,0.0,35,0
NE0503,0.0,35,0
NE0504,0.0,39,0
NE0505,0.0,35,0
NE0506,0.0,34,0
NE0507,0.0,47,0
NE0508,0.0,15,0
NE0509,0.0,116,0
NE0510,0.0,81,0
NE0511,0.0,105,0
NE0512,0.0,85,0
NE0513,0.0,9,0
NE0601,0.0,111,0
NE0602,0.0,30,0
NE0603,0.0,12,0
NE0604,0.0,60,0
NE0605,0.0,12,0
NE0606,0.0,106,0
NE0607,0.0,40,0
NE0608,0.0,93,0
NE0609,0.0,140,0
NE0610,0.0,46,0
NE0611,0.0,101,0
NE0612,0.0,54,0
NE0613,0.0,75,0
NE0701,0.0,81,0
NE0702,0.0,53,0
NE0703,0.0,44,0
NE0704,0.0,207,0
NE0705,0.0,22,0
NE0706,0.0,37,0
NE0707,0.0,38,0
NE0708,0.0,34,0
NE0709,0.0,195,0
NE0710,0.0,219,0
NE0711,0.0,6,0
