admin2Pcod,conflict_diffusion_indicator,exposedpop_sahel,inhabitants_100m
BF1300,0.4912717303137936,1897765.8789522648,3862965.77199769
BF4601,0.03622682714809707,10038.595021724701,277103.89818811417
BF4602,0.0,0.0,338913.42960739136
BF4604,0.010951034037779554,4145.556719303131,378553.90687322617
BF4605,0.0,0.0,192020.00309467316
BF4603,0.13691234615191147,45891.95819377899,335192.2560939789
BF4606,0.12906052321203626,32656.23339366913,253030.38125777245
BF4701,0.013768905937213702,11986.403991699219,870541.4973678589
BF4702,0.0,0.0,173848.20963454247
BF4802,0.052391232245202174,19633.82336330414,374753.99073290825
BF4801,0.08727369356158898,65957.33422136307,755752.7535467148
BF4803,0.2071410511019729,93483.25849628448,451302.42411613464
BF4901,0.16350337257608433,59856.639770030975,366088.1046485901
BF4903,0.015877035846013944,12470.388337135315,785435.5471689701
BF4902,0.0,0.0,438238.346473217
BF5003,0.020584321455804327,6300.333311796188,306074.37438845634
BF5004,0.0,0.0,292482.69025826454
BF5001,0.0,0.0,622548.1423389912
BF5002,0.0,0.0,349244.34283638
BF5102,0.0,0.0,238723.2206389904
BF5103,0.0,0.0,309861.122166872
BF5101,0.0005487503311951787,141.39018511772156,257658.49618673325
BF5204,0.34125976604006836,60977.71292710304,178684.15499043465
BF5202,0.09396400976418184,42634.38551688194,453731.014926672
BF5205,0.02440390306004716,12995.62169265747,532522.2633724213
BF5203,0.11373391568218703,15493.282119989395,136223.9401242733
BF5201,0.031984662293027294,17873.848630428314,558825.6166870594
BF5303,0.01705938402831192,5937.106095790863,348025.8188652992
BF5302,0.0,0.0,442952.08185982704
BF5301,0.2894157046268931,428179.5233850479,1479461.9522705078
BF5402,0.017062266778756125,6457.453205108643,378463.96899318695
BF5404,0.0,0.0,222284.05622911453
BF5403,0.014096753523987345,9469.4377887249,671745.9997162819
BF5401,0.11407606601181984,21226.26588153839,186071.1595659256
BF5501,0.0,0.0,400866.74176716805
BF5502,0.0,0.0,158537.5222811699
BF5503,0.0,0.0,286461.16220998764
BF5604,0.033375296556004325,7679.972296953201,230109.484842062
BF5602,0.018271669866435736,6554.176517009735,358707.0347111225
BF5603,0.2941439893482003,144264.14741051197,490454.1742640734
BF5601,0.12489897388275305,37368.161573171616,299187.0982723236
BF5703,0.12757495079245282,12934.057044506073,101383.98615217209
BF5704,0.05301103644708473,19486.0124707222,367584.06884145737
BF5701,0.030796766185894997,4874.74492931366,158287.55850172043
BF5702,0.0,0.0,229664.28766536713
ML0104,0.0,0.0,251143.28909116983
ML0105,0.0014616252270636255,812.5285187959671,555907.5635471344
ML0101,0.0,0.0,282573.46605193615
ML0102,0.05518554966929733,15297.534240961075,277201.8097605705
ML0107,0.0,0.0,216984.57960355282
ML0103,0.0,0.0,728479.7953653336
ML0106,0.0,0.0,280472.23425090313
ML0203,0.0018764930383735673,216.71525382995605,115489.5059018135
ML0202,0.09731373453143338,62055.29153752327,637682.7673536539
ML0204,0.01420430866891918,29734.616511821747,2093351.8979973197
ML0206,0.0,0.0,253729.06947290897
ML0205,0.004300127661527776,1145.8376814126968,266465.9683628082
ML0201,0.035523564234161184,7579.6963584423065,213370.94184803963
ML0207,0.022574310976469763,6995.881790876389,309904.55470240116
ML0302,0.0,0.0,452081.54600834846
ML0303,0.047855729508683525,12155.01325559616,253992.85269260406
ML0306,0.0,0.0,256667.12290656567
ML0305,0.0,0.0,926845.7182687521
ML0301,0.0,0.0,593247.5243740082
ML0307,0.0,0.0,278846.09579360485
ML0304,0.0,0.0,786649.8181282878
ML0402,0.0,0.0,360423.6159005165
ML0401,0.0,0.0,256427.11713027954
ML0405,0.08088424084330659,31855.11647415161,393835.88375222683
ML0407,0.053759105758738955,13826.426731824875,257192.27536773682
ML0406,0.05006781163741705,43056.59436619282,859965.5738501549
ML0403,0.2538426323468704,73478.81212222576,289466.00278639793
ML0404,0.1574418077939187,81389.13979434967,516947.4419455528
ML0502,0.25964956331531847,81448.3678625822,313685.74944865704
ML0503,0.489329599136711,138891.7024976611,283840.7951260209
ML0505,0.34096447319403533,138991.01327693462,407640.7491223812
ML0501,0.16160809679506813,64101.64282035828,396648.7081500888
ML0507,0.39418611550515487,72719.91762125492,184481.17465543747
ML0506,0.5550486845627534,251708.32858276367,453488.7399671078
ML0508,0.18701850988261493,23818.362694382668,127358.31714910269
ML0504,0.2547186066797764,90484.92532336712,355234.8472018838
ML0604,0.1725099698303397,38900.63123238087,225497.87279331684
ML0601,0.0,0.0,137581.97259438038
ML0603,0.1946664216660869,35406.95319440961,181885.26244728267
ML0602,0.19161185817857862,36426.6778563261,190106.59466794133
ML0605,0.5454470407708287,121483.68527698517,222723.15403032303
ML0701,0.32383029849935574,62450.81427633762,192850.4360640049
ML0703,0.365491669152862,139189.13382518291,380827.1037963629
ML0704,0.3329181650177806,25068.6244597435,75299.65947759151
ML0702,0.1521070721679099,23657.168052196503,155529.70493102074
ML0804,0.0,0.0,21929.31824207306
ML0802,0.4977710785885983,28837.306663274765,57932.86895060539
ML0801,0.20813824995262137,2750.1084489822388,13212.893111228943
ML0803,0.21253014096373554,5187.048376917839,24406.177652716637
ML0901,0.25985318387099976,755797.9399437904,2908557.550401211
MR0101,0.0,0.0,10624.873919591308
MR0103,0.0,0.0,7142.183085411787
MR0102,0.0,0.0,39978.51740787178
MR0104,0.0,0.0,4547.947231143713
MR0204,0.0,0.0,100173.35207098722
MR0203,0.0,0.0,57933.34795807302
MR0201,0.0,0.0,95479.48214161396
MR0205,0.0,0.0,140113.56859754026
MR0202,0.0,0.0,8082.0395166277885
MR0305,0.0,0.0,49844.88042926788
MR0302,0.0,0.0,41040.93798851967
MR0303,0.0,0.0,80956.26472365856
MR0301,0.0,0.0,136438.29711183906
